,step,dropout_train,dropout_test,no_dropout_train,no_dropout_test
0,0,4.6893696784973145,4.440749835968018,4.506182670593262,4.335419464111328
1,2500,2.2923206087589265,2.0880346298217773,2.2188143635749817,1.93616144657135
2,5000,1.958005603027344,1.8552496910095215,1.8500743676424027,2.0467453956604005
3,7500,1.8321131453037265,1.944536519050598,1.6999394115448,1.8600268602371215
4,10000,1.7709968080043792,1.9873326301574707,1.6075177837610244,1.7875293493270874
5,12500,1.723721242046356,1.747053575515747,1.533924460697174,2.1235755443573
6,15000,1.6768676714897155,1.871652364730835,1.475788102006912,1.695110297203064
7,17500,1.661483975315094,1.8085515975952149,1.42445035943985,2.0288195848464965
8,20000,1.627514388871193,1.7924394369125367,1.3783971929311751,2.0102447509765624
9,22500,1.5983755078315736,2.0159059047698973,1.3304702792406082,1.82801251411438
10,25000,1.5854264435529708,1.7447609424591064,1.2977422093391418,2.018941593170166
11,27500,1.5680487867832185,1.6955597877502442,1.267921211314201,1.948928451538086
12,30000,1.5473426479816437,1.8526523113250732,1.2336491873264313,1.8868930339813232
13,32500,1.5421613245487211,2.000598907470703,1.205119421029091,1.9716545343399048
14,35000,1.5238670993566512,1.8298712253570557,1.1857848856687545,2.1768375873565673
15,37500,1.5069536776542665,1.7902759552001952,1.161356492328644,2.5399373054504393
16,40000,1.4970832669019698,1.942371654510498,1.1338469390153885,2.0962322473526003
17,42500,1.487814454960823,1.6910880088806153,1.113256030416489,2.3638190984725953
18,45000,1.4799677259683608,1.928437542915344,1.092136380624771,2.211207699775696
19,47500,1.4606978321790696,2.087496256828308,1.078866059279442,2.3052517890930178
20,50000,1.4592161421775818,1.7853207349777225,1.060754653787613,2.5953925609588624
21,52500,1.4480711079359054,1.6946521759033204,1.0394265955209732,2.836973476409912
22,55000,1.4404751435995102,1.701506757736206,1.03134438021183,2.6312030792236327
23,57500,1.4257290731668473,1.770576500892639,1.0221045702457427,2.8716652393341064
24,60000,1.432502327656746,1.9844019651412963,1.007681286478043,2.3298372268676757
25,62500,1.417173753094673,1.7781185865402225,0.9945828922510148,2.4175265073776244
26,65000,1.409799351286888,1.794186282157898,0.9788454512834548,2.7186670780181883
27,67500,1.4051470866680145,2.1646705150604246,0.9696711237907408,2.6654630661010743
28,70000,1.3996657769441605,1.862432312965393,0.962536349582672,2.2980306148529053
29,72500,1.3935751338243485,2.141360068321228,0.9520942638158798,2.388535737991333
30,75000,1.3851366258382798,1.7587387084960937,0.9432128882408142,2.4901843547821043
31,77500,1.3816026639461518,1.784815239906311,0.9351055596590042,3.1455813884735107
32,80000,1.3765583768367768,1.9726310968399048,0.9238078419208526,2.795289325714111
33,82500,1.3741382093191148,1.9261417865753176,0.9185009190797806,2.6630664825439454
34,85000,1.370281230187416,1.96840398311615,0.910657253718376,2.7058540105819704
35,87500,1.3596880163908005,1.957229948043823,0.90423900077343,2.6825326919555663
36,90000,1.3532974533796311,1.8872456073760984,0.8948821053504944,2.452059864997864
37,92500,1.3537804291009905,1.709833025932312,0.8876226364850998,2.8655588626861572
38,95000,1.3509983211994172,1.883955979347229,0.8847527235984802,2.7258140802383424
39,97500,1.3474567660808563,1.8195558071136475,0.8793648556470871,2.868460845947266
40,100000,1.3407644792556763,1.7724694728851318,0.8738107150316239,2.826579236984253
41,102500,1.3370375050783156,1.9302484035491945,0.8644124415874481,3.4481178283691407
42,105000,1.3308216790914535,2.223194694519043,0.8612889728307724,3.1887775897979735
43,107500,1.3327912011146543,1.8894231081008912,0.852872587442398,2.954946088790894
44,110000,1.3251181606292726,1.9439807415008543,0.8500607066869735,2.756979990005493
45,112500,1.322093495965004,1.7744654655456542,0.8456316746234894,3.107722282409668
46,115000,1.3198522706508635,1.7806602239608764,0.8443997739195823,2.8205466985702516
47,117500,1.3152611901283264,2.242596888542175,0.8396387950658798,2.9963518142700196
48,120000,1.3081170415878296,1.8395351886749267,0.8334157188653946,2.8935442924499513
49,122500,1.3075339380979538,1.761969017982483,0.8299898265600204,3.183978176116943
50,125000,1.3031974873304366,1.7055572271347046,0.8238132979631424,3.0752660274505614
51,127500,1.300408474969864,2.0580591440200804,0.822630600643158,3.308716297149658
52,130000,1.3030847420454026,1.7816173076629638,0.8175444110631943,2.9692636489868165
53,132500,1.297512368559837,2.2659186363220214,0.817103878211975,2.4696902513504027
54,135000,1.295338581633568,2.0703622102737427,0.8126042982339859,2.679973030090332
55,137500,1.3002652848243714,1.8757001399993896,0.8093952047824859,3.2013636112213133
56,140000,1.2926008753538132,2.1735509395599366,0.8046908497810363,3.2793226718902586
57,142500,1.2937665197372437,1.998649501800537,0.8018967312335968,2.7239640235900877
58,145000,1.28795941798687,2.0990936517715455,0.8002985532522201,3.0712293148040772
59,147500,1.2846819488525392,1.9606358528137209,0.7961889349699021,3.046783447265625
60,150000,1.2806959647655487,1.984924864768982,0.7936144552946091,2.965902090072632
61,152500,1.281060294818878,2.0008257627487183,0.7922430705785751,3.0998179435729982
62,155000,1.2765079811096192,1.979873204231262,0.7874860304355621,3.0436285018920897
63,157500,1.2769596681833266,2.014647388458252,0.7882862397432328,3.082335662841797
64,160000,1.2683713986873626,2.201778841018677,0.7844514256477356,2.791892552375794
65,162500,1.2682847820043563,1.9847370862960816,0.7815786194562911,3.0025017738342283
66,165000,1.2744670435190202,1.982895350456238,0.778433424448967,3.1486231327056884
67,167500,1.2680845805168153,1.8817317485809328,0.77948290361166,3.18704571723938
68,170000,1.2643517539978026,2.1174509525299072,0.7753486998558045,3.582309627532959
69,172500,1.2671432122468949,2.361225724220276,0.7698805614948273,3.0672186374664308
70,175000,1.266352931380272,1.7789618253707886,0.7704079349517823,3.012440919876098
71,177500,1.2658771453380584,1.9443839073181153,0.7656739710807801,3.243233871459961
72,180000,1.2589751991987228,2.010927152633667,0.7664556581497193,3.7496821880340576
73,182500,1.2568896728038788,2.0629088401794435,0.7621736418247222,3.459720325469971
74,185000,1.2583246148824692,1.8745193958282471,0.7630236964583397,3.2351582050323486
75,187500,1.2539119270086287,2.105140042304993,0.7596985222816467,3.159949541091919
76,190000,1.253471870470047,2.1095388174057006,0.7609675884842872,3.159408855438232
77,192500,1.2546131548166275,1.8697184324264529,0.7550240664362907,2.813696050643921
78,195000,1.2476268990039825,2.0303211212158203,0.755119102871418,2.8733060359954834
79,197500,1.249025109052658,1.7822006225585938,0.7527066758990287,3.3512375831604
80,200000,1.245676614189148,1.95632746219635,0.7524061969518662,2.9746821880340577
81,202500,1.2421213379621503,2.1204535961151123,0.75001039083004,3.028361368179321
82,205000,1.243418712091446,2.2412076234817504,0.7495791224002838,3.5735024929046633
83,207500,1.2451856323957444,1.911988401412964,0.7457625237941742,3.62435097694397
84,210000,1.241091391849518,2.1097904205322267,0.748347738647461,3.6403078556060793
85,212500,1.237496650004387,1.9146188020706176,0.7457975368976593,3.48692216873169
86,215000,1.23789098944664,2.093838834762573,0.7426166386008263,3.3526498317718505
87,217500,1.2359856790542605,1.7914160251617433,0.7419773147940636,3.643339014053345
88,220000,1.2327324830293656,2.0774664163589476,0.7417176512122154,3.790168571472168
89,222500,1.2318450644731522,2.2281110525131225,0.7397255592226982,2.815353441238403
90,225000,1.2312423772335053,1.9461490869522096,0.7353656555891037,3.035734462738037
91,227500,1.2291373428344727,1.940601634979248,0.742377689409256,3.320109748840332
92,230000,1.2256432981967926,2.086296224594116,0.7352447489261628,3.1054598808288576
93,232500,1.231903968119621,1.852372646331787,0.7354579406023025,3.4840292930603027
94,235000,1.2272670742988587,2.053687500953674,0.7317390889048576,3.473598337173462
95,237500,1.224857540464401,1.789376139640808,0.7309608516812325,3.7185150623321537
96,240000,1.2294588603973389,2.4859835386276243,0.7307350328803063,3.470418119430542
97,242500,1.2249554612398148,1.8780443906784057,0.7304195486187934,3.816957473754883
98,245000,1.2245826168060303,2.1654933214187624,0.7270479655385017,3.746001958847046
99,247500,1.2222455713033675,2.4181076526641845,0.7291470687508583,3.6901033878326417
100,250000,1.2180213915348053,1.8023131370544432,0.7242437733888626,3.349721574783325
101,252500,1.220404383444786,2.100702714920044,0.7256288726210595,3.844343137741089
102,255000,1.2219011066675187,2.4405694007873535,0.7243684663176536,3.2354276180267334
103,257500,1.2180802343845367,1.927180194854736,0.721644164955616,3.648553133010864
104,260000,1.2165090901613236,2.02525372505188,0.7206470253825188,3.3073981761932374
105,262500,1.2117817593574525,2.0086787700653077,0.7219412237405777,3.2419934272766113
106,265000,1.211848568677902,2.0008257150650026,0.7224143987774849,3.17037582397461
107,267500,1.2139473433732986,2.2900132656097414,0.718339933848381,3.5803908348083495
108,270000,1.214323513698578,2.130644512176514,0.7169224375724792,3.3154701232910155
109,272500,1.2117024900436402,2.1340856313705445,0.7157270560145378,3.484950876235962
110,275000,1.2111030117750168,1.870333695411682,0.7184079080224037,2.796057033538818
111,277500,1.2110357351779937,1.9368871927261353,0.7142596854686737,3.417180633544922
112,280000,1.208413726758957,1.9108314037323,0.7155568695664406,3.1994110107421876
113,282500,1.207798370194435,2.054653835296631,0.7156042989134789,3.978406572341919
114,285000,1.209920430469513,1.987556862831116,0.7126545219182968,3.2232399940490724
115,287500,1.2047504056215286,2.230233907699585,0.7139231011033058,3.4309284687042236
116,290000,1.2103689696788789,2.1881924629211427,0.7086249845981598,3.3601621627807616
117,292500,1.2072505207777022,2.0569011211395263,0.711004441511631,3.7474583625793456
118,295000,1.2049351847648622,2.0656537771224976,0.7106183995008468,3.866698741912842
