,step,dropout_train,dropout_test,no_dropout_train,no_dropout_test
0,0,4.723936080932617,4.521055221557617,4.827657222747803,4.644742870330811
1,2500,2.460527238607406,2.252853536605835,2.389621376657486,2.284838247299194
2,5000,2.1651924748897553,2.209929847717285,2.05341327381134,2.1023452281951904
3,7500,2.0610864071846007,2.020778703689575,1.9292744431495668,1.9329336643218995
4,10000,1.988671687889099,1.9624369621276856,1.8435911444664,1.9171743869781497
5,12500,1.9461539134979249,1.751509380340576,1.7822318555831909,1.7732784271240234
6,15000,1.9040380795001983,1.7338930368423462,1.7322779782533646,2.003147864341736
7,17500,1.8699693580389023,2.110168385505676,1.704857023882866,1.77793128490448
8,20000,1.8451092007637024,1.9904629945755008,1.6617567787647247,1.8924697637557983
9,22500,1.8275996574401856,1.822515082359314,1.6435817114591598,1.9414278507232663
10,25000,1.8112969039916993,1.7739313125610352,1.615461683511734,2.0292494535446166
11,27500,1.7908278574943544,1.820435094833374,1.5989808685302735,1.7670396089553833
12,30000,1.776908183670044,1.9553751945495603,1.5890924770832062,1.9882893562316897
13,32500,1.7630288839817048,2.0551138639450075,1.560907976579666,2.035670757293701
14,35000,1.7552243610858915,1.652777123451233,1.5510356216430663,1.650263285636902
15,37500,1.7435444501876831,1.945402455329895,1.5377504646539688,1.8383301734924316
16,40000,1.7350297773838044,1.6984447479248046,1.5261248896598816,1.796655106544495
17,42500,1.7307582402706143,1.6741551399230956,1.5178805374622344,2.0182236671447753
18,45000,1.7210040676116944,1.7391013860702516,1.5058536437749863,2.039105439186096
19,47500,1.7046554757118224,1.7125550985336304,1.4996362664461136,1.9395643711090087
20,50000,1.7159744439601898,1.8390573024749757,1.4899612182617188,1.8207178831100463
21,52500,1.6929527792930603,1.7334656715393066,1.480963581252098,2.0046085834503176
22,55000,1.6887639863967896,1.6288980484008788,1.4706087641477583,1.8968084335327149
23,57500,1.6932339124202729,1.7870973825454712,1.461555158996582,2.2294353008270265
24,60000,1.680959795808792,1.6841344356536865,1.4520219957113265,1.764035940170288
25,62500,1.6803551661491394,1.823388195037842,1.4462031755447389,1.9561137199401857
26,65000,1.676454390692711,1.8152024030685423,1.44092575070858,2.1143078804016113
27,67500,1.6720233514308929,1.6591190338134765,1.4355375609874723,1.8125808715820313
28,70000,1.6644831804275513,1.7326088428497315,1.432822129559517,1.827470016479492
29,72500,1.665899048566818,1.7015729427337647,1.4219081244945526,1.9110863208770752
30,75000,1.6586615253925323,1.8000937461853028,1.4166720254659653,1.8369571447372437
31,77500,1.650484811902046,1.5676516056060792,1.4137756896018985,2.1957102060317992
32,80000,1.657802124285698,1.6734799146652222,1.4077939145326617,2.031042957305908
33,82500,1.645280684041977,1.8074302673339844,1.3983613594293594,1.791490077972412
34,85000,1.6499062223911285,1.7795557737350465,1.394881928229332,1.8577301263809205
35,87500,1.649204229736328,1.6086211204528809,1.3907368082284928,2.255479335784912
36,90000,1.641604661226273,1.5892122268676758,1.3867332838773727,2.08764967918396
37,92500,1.6324933577060698,1.817732048034668,1.3783347378730777,2.0220072269439697
38,95000,1.6361214477062225,1.925492238998413,1.3720384791374207,2.176877474784851
39,97500,1.631065852856636,1.7150827884674071,1.3744120371103288,2.072079873085022
40,100000,1.6357851416826248,1.7204516410827635,1.3635845263004305,1.894173550605774
41,102500,1.630388239622116,1.8181922435760496,1.362801839208603,2.1826364994049072
42,105000,1.6302473587036133,1.9573293447494504,1.3609526832818986,1.6972232103347775
43,107500,1.6280223881483078,1.7182696342468262,1.3491471196889877,1.9750779151916504
44,110000,1.6289952193498611,1.5431909084320068,1.349660951781273,1.976568913459778
45,112500,1.6203296815872192,1.6847172737121583,1.3478320573329925,2.228588604927063
46,115000,1.6172323977470398,1.8241633892059328,1.3395530366897583,2.071763300895691
47,117500,1.625564658331871,1.8191916704177855,1.3435185616493226,1.81712064743042
48,120000,1.6162978724956512,1.768339896202087,1.3350037315130234,1.9101527690887452
49,122500,1.6177146071910855,1.659254264831543,1.334663721394539,2.338719606399536
50,125000,1.610653260755539,1.6805657148361206,1.3322812170028686,1.9055904626846312
51,127500,1.6151649157524108,1.988645601272583,1.3288538106203078,2.0224602699279783
52,130000,1.6139594916820523,1.6887718915939331,1.3228483659505843,2.191710352897644
53,132500,1.6024306991577149,1.7848762273788452,1.3248314084291457,1.9839457750320435
54,135000,1.6172190123796464,1.9885454893112184,1.321884957742691,2.0047558307647706
55,137500,1.6048865776062011,1.7497433185577391,1.3152281418323517,1.8995612382888791
56,140000,1.6107241357326507,1.8327965259552,1.3150601629018783,2.1683160305023192
57,142500,1.6082988781929015,1.6563385248184204,1.308028887963295,2.140949511528015
58,145000,1.605423061132431,1.900255823135376,1.3136904077768323,1.9777902841567991
59,147500,1.6018180697202682,1.7637102365493775,1.3037311310768127,2.210061717033386
60,150000,1.6014646221637725,1.7487240076065065,1.3044738315343858,2.0459155082702636
61,152500,1.600047578382492,1.740990734100342,1.3019773576021194,1.7342652320861816
62,155000,1.597367941069603,1.815485429763794,1.2979563251018524,1.8308609485626224
63,157500,1.5986501945495606,1.742827010154724,1.294996894311905,2.258982253074646
64,160000,1.5899414905786515,1.657539892196655,1.2920694316387176,1.9728385925292968
65,162500,1.597915506029129,1.7139152526855468,1.2907610954999924,2.195209765434265
66,165000,1.5895181337833404,1.6340219020843505,1.2923702023983,2.1688275814056395
67,167500,1.5950544946432117,1.8062459468841552,1.288666970014572,1.990598464012146
68,170000,1.5918881525993347,1.731645131111145,1.2881524990081787,1.9866017341613769
69,172500,1.5938831754684448,1.8280292749404907,1.2818811188697814,2.2704573392868044
70,175000,1.5896937585830688,1.6398549556732178,1.2817993184566498,2.3145479202270507
71,177500,1.5858280293464662,1.6040462493896483,1.2810168194055558,2.1321361541748045
72,180000,1.5853038145780562,1.978934097290039,1.2740224022865296,2.207849359512329
73,182500,1.5862710191488265,1.5600624322891234,1.2736460377693175,2.2871865749359133
74,185000,1.5899245025157929,1.733326077461243,1.2741036040544509,2.4602497577667237
75,187500,1.5927826451539993,1.699587607383728,1.2650457171440124,2.194794249534607
76,190000,1.5837332365751269,1.8494238138198853,1.2675544050216674,2.3673951625823975
77,192500,1.5869058762550354,1.8203848123550417,1.2707256576061248,2.407689332962036
